cell_id,2010002N04Rik,2410006H16Rik,Abcg1,Akap13,Alas1,Anxa2,Anxa6,Apoe,Aqp1,Arhgap25,Arhgef40,Arpc1b,Atp8b5,Atpase6,Basp1,Beta-s,Blnk,Blvrb,Btnl9,C1qc,Card6,Cbfa2t3,Cbr3,Ccl5,Ccnd2,Cd160,Cd2,Cd27,Cd52,Cd63,Cd7,Cd74,Cd9,Chd3,Cma1,Cnn2,Coro1a,Cpa3,Crip1,Cst3,Ctsw,Cxcl10,Cyp11a1,Dapp1,Ddah2,Dntt,Dok2,Egr1,Elane,Emb,Epsti1,Epx,Ermap,Ets1,Eya2,F2r,Fam117a,Fam132a,Fam176b,Fam46a,Fam65a,Fcnb,Flt3,Fxyd5,Galnt6,Gas5,Gata2,Gbp2,Gimap7,Gm2a,Gm5057,Gp9,Gpr56,Grap,Gstm1,Gzma,Gzmb,H1fx,H2-Aa,H2-Ab1,H2-Eb1,H2-T10,Hba-a2,Hbb-b1,Hdc,Hmox1,Hp,Id2,Ifi27l2a,Ifi30,Ifitm1,Igfbp4,Igtp,Il10ra,Il16,Il1rl1,Il2rb,Iqgap1,Iqgap2,Irf8,Itga2b,Itgax,Itgb2,Itgb7,Itm2c,Kdm5b,Kif21b,Klf1,Klf6,Klrb1c,Klrk1,Lat,Lck,Lgals1,Lgals3,Limd2,Lmo4,Lpar6,Lpcat2,Lpin2,Lsp1,Ly6c2,Ly6d,Malat1,Mcpt4,Mcpt8,Mfsd2b,Mpl,Mpo,Mrvi1,Ms4a4b,Msn,Mt2,Muc13,Mycn,Myct1,NAAA,Napsa,Nav1,Ndrg1,Nfe2,Nkg7,Nrgn,Olfm1,Optn,P4hb,Pbx1,Pf4,Pkm2,Plbd1,Plek,Pou2af1,Prg2,Prg3,Prkch,Prss34,Ptpn18,Ptprcap,Ptpre,Ptprs,Rab19,Rab37,Rapgef3,Rnf125,Rpl23,Rpl32,Runx1,S100a10,S100a4,S100a9,Scin,Sell,Selplg,Serpina3f,Sh2d2a,Shisa5,Slc22a3,Slc45a3,Slpi,Sox4,Spns2,Tbxa2r,Tcb,Tcf7,Thy1,Tmem176b,Tmsb10,Tnks1bp1,Tpsb2,Txnip,Tyrobp,Ube2c,Unc119,Vamp5,Vim,Xcl1,Ypel3,Zbtb16,Zfpm1,Zyx,time
W31105,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,3.3785636,3.3785636,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.738953,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0545154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,4.0545154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,4.0545154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,3.3785636,3.3785636,0.0,0.0,0.0,0.0,0.0,3.3785636,4.738953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3785636,0.0,0.0,0.0,0.0,0.0,0.0
W31106,0.0,1.5917552,0.0,1.5917552,3.5893703,2.1775575,0.0,2.1775575,0.0,0.0,0.0,2.5445182,0.0,2.5445182,0.0,0.0,0.0,1.5917552,0.0,0.0,0.0,2.5445182,0.0,0.0,2.5445182,0.0,0.0,0.0,3.0234358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9485617,0.0,1.5917552,2.8123772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3940473,2.5445182,0.0,0.0,0.0,0.0,0.0,0.0,1.5917552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5917552,0.0,0.0,0.0,0.0,3.345915,0.0,0.0,0.0,0.0,0.0,0.0,2.1775575,0.0,0.0,1.5917552,0.0,3.345915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5917552,0.0,0.0,2.1775575,0.0,2.5445182,0.0,0.0,1.5917552,0.0,1.5917552,0.0,1.5917552,2.1775575,0.0,0.0,0.0,0.0,0.0,3.6919653,0.0,2.8123772,0.0,0.0,0.0,0.0,0.0,4.5106874,0.0,2.5445182,0.0,0.0,0.0,0.0,5.9207053,0.0,0.0,1.5917552,0.0,0.0,0.0,0.0,0.0,2.5445182,0.0,0.0,0.0,2.5445182,0.0,0.0,0.0,3.4750333,0.0,0.0,2.5445182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5917552,0.0,2.1775575,0.0,0.0,0.0,0.0,0.0,3.0234358,3.7850072,2.1775575,0.0,1.5917552,0.0,0.0,0.0,2.5445182,0.0,0.0,0.0,0.0,0.0,1.5917552,2.1775575,0.0,0.0,0.0,0.0,0.0,0.0,2.1775575,0.0,0.0,0.0,3.0234358,2.1775575,0.0,1.5917552,2.5445182,0.0,0.0,0.0,0.0,0.0,0.30331787
W31107,0.0,1.6680843,0.0,2.0086167,0.0,0.0,0.0,1.14772,2.2621799,0.0,0.0,0.0,0.0,2.6323206,0.0,0.0,0.0,3.1139598,0.0,0.0,0.0,1.6680843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,1.6680843,0.0,0.0,0.0,2.2621799,0.0,0.0,0.0,0.0,1.6680843,0.0,0.0,0.0,3.205223,0.0,0.0,0.0,1.6680843,3.832352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6680843,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,3.1139598,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,2.0086167,0.0,0.0,0.0,1.6680843,0.0,0.0,2.2621799,0.0,2.9018612,0.0,0.0,1.14772,2.776145,0.0,0.0,0.0,0.0,0.0,0.0,1.6680843,2.0086167,0.0,0.0,0.0,0.0,2.4642787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1139598,3.1139598,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2621799,0.0,1.14772,0.0,0.0,1.14772,0.0,2.776145,0.0,0.19274503
W31108,0.0,0.0,0.0,2.294213,3.716612,0.0,0.0,0.0,0.0,0.0,0.0,2.4969823,0.0,2.039592,0.0,0.0,0.0,1.1722213,1.1722213,0.0,0.0,2.039592,0.0,0.0,3.1480918,0.0,0.0,1.6971401,0.0,1.6971401,0.0,0.0,0.0,0.0,0.0,2.039592,2.039592,0.0,1.1722213,1.6971401,0.0,0.0,0.0,1.6971401,0.0,0.0,0.0,0.0,5.0982094,1.1722213,0.0,0.0,0.0,0.0,0.0,0.0,1.6971401,1.1722213,0.0,0.0,1.1722213,0.0,0.0,2.294213,2.039592,0.0,0.0,0.0,0.0,2.039592,0.0,0.0,1.6971401,0.0,3.239491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.294213,0.0,2.039592,0.0,0.0,0.0,1.1722213,2.039592,0.0,0.0,1.6971401,0.0,0.0,2.4969823,0.0,0.0,0.0,0.0,0.0,0.0,1.1722213,2.294213,0.0,1.1722213,0.0,0.0,0.0,0.0,0.0,2.9356244,0.0,1.1722213,0.0,0.0,0.0,0.0,0.0,3.9128518,0.0,2.039592,1.1722213,0.0,0.0,0.0,5.6255164,0.0,0.0,1.6971401,0.0,1.1722213,0.0,0.0,0.0,2.4969823,0.0,0.0,1.6971401,3.0474901,0.0,0.0,0.0,3.716612,0.0,0.0,3.239491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1722213,2.4969823,0.0,0.0,0.0,1.1722213,0.0,2.8096497,3.4004986,0.0,0.0,0.0,0.0,0.0,0.0,2.039592,0.0,0.0,1.6971401,0.0,0.0,1.1722213,0.0,1.1722213,0.0,0.0,0.0,0.0,1.6971401,0.0,0.0,0.0,0.0,2.039592,2.039592,0.0,2.039592,2.8096497,0.0,0.0,0.0,0.0,0.0,0.29616213
W31109,0.0,1.9115684,0.0,1.0720047,0.0,0.0,0.0,0.0,2.5279164,0.0,0.0,0.0,0.0,2.7954404,0.0,0.0,0.0,3.395127,0.0,0.0,0.0,1.0720047,0.0,0.0,1.5774227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9115684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,0.0,0.0,0.0,2.5279164,0.0,0.0,0.0,0.0,3.6244307,0.0,0.0,1.5774227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,2.161588,0.0,0.0,0.0,0.0,0.0,0.0,1.5774227,0.0,1.0720047,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,0.0,0.0,0.0,0.0,0.0,0.0,1.5774227,0.0,2.3614337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161588,0.0,0.0,0.0,2.9064126,0.0,0.0,1.9115684,0.0,3.1803327,0.0,0.0,0.0,3.0062912,0.0,0.0,0.0,0.0,0.0,1.5774227,0.0,1.5774227,0.0,1.5774227,0.0,1.9115684,1.9115684,0.0,1.0720047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,0.0,0.0,0.0,0.0,3.4575675,3.5163372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0720047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5774227,0.0,3.0970936,0.0,1.9115684,0.0,0.0,0.0,0.0,2.5279164,0.0,0.19291177
W31110,0.0,2.028235,0.0,2.6533349,2.6533349,0.0,0.0,0.0,0.0,0.0,0.0,2.6533349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028235,0.0,2.6533349,0.0,0.0,3.0350482,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028235,2.6533349,0.0,2.028235,0.0,0.0,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,4.53699,2.028235,0.0,0.0,0.0,0.0,0.0,0.0,3.0350482,0.0,0.0,2.028235,0.0,0.0,0.0,3.3106394,0.0,0.0,0.0,0.0,0.0,3.3106394,0.0,0.0,3.0350482,0.0,2.6533349,0.0,0.0,0.0,0.0,0.0,0.0,2.6533349,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,0.0,2.028235,3.0350482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6533349,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.719099,0.0,0.0,0.0,2.028235,2.6533349,0.0,2.6533349,0.0,0.0,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,3.9853716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028235,0.0,3.0350482,0.0,0.0,0.0,0.0,0.0,2.6533349,3.0350482,3.3106394,0.0,0.0,0.0,0.0,2.6533349,2.028235,0.0,0.0,0.0,0.0,0.0,0.0,2.028235,0.0,0.0,0.0,0.0,0.0,3.0350482,0.0,0.0,0.0,0.0,2.028235,0.0,0.0,2.028235,2.6533349,0.0,0.0,0.0,0.0,2.6533349,0.1929011
W31111,0.0,2.0444553,0.0,1.4730395,0.0,0.0,2.0444553,1.4730395,0.0,0.0,0.0,0.0,0.0,2.4058115,0.0,0.0,0.0,2.6706874,0.0,0.0,0.0,2.8798933,0.0,1.4730395,2.0444553,0.0,0.0,1.4730395,0.0,0.0,0.0,0.0,0.0,1.4730395,0.0,0.0,0.0,0.0,2.4058115,2.0444553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4058115,0.0,0.0,1.4730395,0.0,2.0444553,0.0,0.0,2.0444553,0.0,0.0,0.0,0.0,0.0,2.4058115,0.0,0.0,1.4730395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0444553,0.0,0.0,0.0,0.0,2.0444553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4730395,2.4058115,0.0,0.0,0.0,0.0,0.0,2.0444553,0.0,1.4730395,0.0,0.0,0.0,1.4730395,0.0,0.0,0.0,2.0444553,0.0,0.0,2.0444553,0.0,3.7220652,0.0,0.0,2.0444553,1.4730395,2.0444553,0.0,0.0,0.0,0.0,0.0,0.0,1.4730395,0.0,0.0,0.0,1.4730395,2.4058115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0444553,1.4730395,1.4730395,0.0,0.0,0.0,0.0,3.2001953,3.052814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4730395,2.0444553,0.0,2.4058115,0.0,0.0,0.0,0.0,2.0444553,0.0,0.096964665
W31113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,4.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0799,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,4.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,3.4035203,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4035203,3.4035203,4.0799,0.0,0.0,0.0,0.0,3.4035203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19582374
W31114,0.0,0.0,0.0,1.5951916,0.0,0.0,0.0,3.479213,2.8164318,0.0,0.0,2.5484931,0.0,0.0,0.0,0.0,0.0,2.1813827,0.0,0.0,0.0,3.0275393,0.0,0.0,2.5484931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5484931,0.0,0.0,0.0,0.0,1.5951916,0.0,0.0,1.5951916,0.0,2.1813827,0.0,0.0,0.0,2.1813827,0.0,0.0,1.5951916,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,0.0,1.5951916,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5484931,0.0,0.0,1.5951916,0.0,0.0,1.5951916,1.5951916,0.0,0.0,0.0,0.0,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5484931,0.0,0.0,0.0,0.0,0.0,2.5484931,0.0,1.5951916,0.0,3.7892225,0.0,0.0,0.0,0.0,3.2017555,0.0,0.0,1.5951916,1.5951916,1.5951916,0.0,0.0,0.0,0.0,0.0,1.5951916,2.1813827,2.1813827,2.1813827,0.0,3.0275393,3.2017555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5951916,0.0,0.0,2.1813827,0.0,1.5951916,0.0,0.0,0.0,0.0,2.1813827,2.1813827,1.5951916,1.5951916,0.0,0.0,1.5951916,0.0,1.5951916,0.0,0.0,0.0,1.5951916,0.0,0.0,1.5951916,0.0,0.0,0.0,0.0,0.0,1.5951916,1.5951916,0.0,0.0,2.5484931,1.5951916,0.0,0.0,2.5484931,0.0,0.0,0.0,0.0,0.0,2.5484931,0.018260978
W31115,0.0,0.0,0.0,0.0,2.0075932,0.0,0.0,1.4404718,2.6312232,0.0,0.0,0.0,0.0,2.0075932,0.0,0.0,0.0,3.2877114,0.0,0.0,0.0,2.0075932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,0.0,0.0,0.0,0.0,0.0,2.3672545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6312232,0.0,0.0,0.0,0.0,3.2877114,0.0,0.0,2.0075932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,0.0,1.4404718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,0.0,0.0,0.0,0.0,0.0,2.3672545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6312232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0075932,0.0,0.0,0.0,0.0,0.0,0.0,2.0075932,0.0,2.3672545,0.0,0.0,0.0,2.6312232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,0.0,0.0,0.0,1.4404718,2.3672545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404718,1.4404718,0.0,1.4404718,0.0,0.0,0.0,0.0,3.1595001,3.2877114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0075932,1.4404718,2.3672545,0.0,0.0,1.4404718,0.0,2.3672545,0.0,0.15197602
